City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
275,Verkhnevilyuysk,RU,2020-02-20 16:59:37,63.45,120.32,10.6,95,100,5.99
276,Laela,TZ,2020-02-20 16:59:38,-8.57,32.05,63.91,91,83,1.48
277,Tevaitoa,PF,2020-02-20 16:59:38,-16.78,-151.5,82.98,77,100,18.68
278,Kharp,RU,2020-02-20 16:59:39,66.8,65.81,17.29,96,100,5.79
279,Vila Franca Do Campo,PT,2020-02-20 16:59:40,37.72,-25.43,57.2,58,20,12.75
280,Marsa Matruh,EG,2020-02-20 16:59:42,31.35,27.25,60.8,48,75,12.75
281,Savannah Bight,HN,2020-02-20 16:59:43,16.45,-85.85,80.11,77,15,9.75
282,Lukiv,UA,2020-02-20 16:59:44,51.05,25.4,37.04,79,95,4.79
283,Quatre Cocos,MU,2020-02-20 16:59:44,-20.21,57.76,78.8,78,20,3.36
284,Senneterre,CA,2020-02-20 16:57:00,48.38,-77.23,-0.4,64,5,10.29
285,Ringebu,NO,2020-02-20 16:59:46,61.52,10.17,28.99,96,100,8.99
286,Russell,US,2020-02-20 16:59:46,32.35,-85.2,50.0,93,90,8.05
287,Iskateley,RU,2020-02-20 16:59:47,67.68,53.15,8.96,86,5,9.19
288,Vestmannaeyjar,IS,2020-02-20 16:59:47,63.44,-20.27,39.2,69,20,5.82
289,Great Falls,US,2020-02-20 16:59:48,47.5,-111.3,37.0,30,1,23.04
290,Suntar,RU,2020-02-20 16:59:48,62.14,117.63,10.17,96,100,4.61
291,Tual,ID,2020-02-20 16:59:49,-5.67,132.75,82.62,77,100,16.91
292,Lokhvytsya,UA,2020-02-20 16:59:49,50.37,33.26,34.0,87,99,5.61
293,Toma,BF,2020-02-20 16:59:50,12.77,-2.88,92.43,8,0,5.79
294,Staritsa,RU,2020-02-20 16:59:50,56.51,34.94,34.02,92,78,6.76
295,Pecos,US,2020-02-20 16:59:51,31.42,-103.49,42.8,87,90,11.41
296,La Ronge,CA,2020-02-20 16:59:51,55.1,-105.28,23.0,57,20,8.05
297,Egvekinot,RU,2020-02-20 16:59:52,66.32,-179.17,-19.61,87,0,3.27
298,Raudeberg,NO,2020-02-20 16:59:52,61.99,5.14,35.6,96,75,9.17
299,Myanaung,MM,2020-02-20 16:59:53,18.28,95.32,68.32,36,68,4.52
300,Cap Malheureux,MU,2020-02-20 16:59:53,-19.98,57.61,78.8,78,20,3.36
301,Zhanakorgan,KZ,2020-02-20 16:59:54,43.91,67.25,33.03,51,93,3.29
302,Orel-Izumrud,RU,2020-02-20 16:59:54,43.46,39.92,48.0,87,75,1.83
303,Tasiilaq,GL,2020-02-20 16:59:55,65.61,-37.64,21.2,73,75,4.7
